County,City,Model Year,Make,Model,Electric Range,Legislative District,Electric Utility,Electric Vehicle Type_Battery Electric Vehicle (BEV),Electric Vehicle Type_Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle (CAFV) Eligibility_Clean Alternative Fuel Vehicle Eligible,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Eligibility unknown as battery range has not been researched,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Not eligible due to low battery range,Cluster
116,726,0.8928571428571388,33,128,0.0,0.6458333333333333,58,True,False,False,True,False,0
116,389,0.9285714285714306,20,60,0.0,0.9583333333333331,75,True,False,False,True,False,0
116,659,0.9285714285714306,36,134,0.0,0.9166666666666666,75,True,False,False,True,False,0
116,715,0.9285714285714306,20,61,0.0,0.8749999999999999,58,True,False,False,True,False,0
116,36,0.8571428571428612,20,113,0.0,0.9583333333333331,75,True,False,False,True,False,0
116,882,0.8571428571428612,19,178,0.0623145400593471,0.9166666666666666,75,False,True,False,False,True,0
116,36,0.8928571428571388,16,126,0.0,0.9583333333333331,75,True,False,False,True,False,0
120,310,0.6428571428571388,8,25,0.7062314540059348,0.2708333333333333,44,True,False,True,False,False,1
46,825,0.9285714285714306,42,125,0.115727002967359,1.0,37,False,True,True,False,False,0
46,825,0.8571428571428612,40,110,0.0,0.3333333333333333,37,True,False,False,True,False,0
116,662,0.9285714285714306,8,57,0.0,0.6666666666666666,75,True,False,False,True,False,0
246,58,0.9285714285714306,2,132,0.0,0.8124999999999999,76,True,False,False,True,False,0
116,262,0.8214285714285694,2,130,0.0682492581602373,0.6041666666666666,75,False,True,False,False,True,0
116,715,0.9285714285714306,40,110,0.0,0.7291666666666666,58,True,False,False,True,False,0
46,825,0.8214285714285694,42,140,0.1246290801186943,1.0,37,False,True,True,False,False,0
126,131,0.6785714285714306,8,175,0.1572700296735905,0.3958333333333333,20,False,True,True,False,False,0
116,715,0.75,40,107,0.9554896142433236,0.9375,58,True,False,True,False,False,1
118,82,0.7142857142857082,40,107,0.6528189910979229,0.5208333333333333,74,True,False,True,False,False,1
116,696,0.8928571428571388,17,101,0.0,0.8333333333333333,75,True,False,False,True,False,0
211,77,0.8571428571428612,40,110,0.0,0.0,74,True,False,False,True,False,0
238,840,0.8571428571428612,40,107,0.0,0.3125,66,True,False,False,True,False,0
116,696,0.6785714285714306,40,107,0.6379821958456974,0.9166666666666666,75,True,False,True,False,False,1
116,715,0.8571428571428612,40,110,0.0,0.9375,58,True,False,False,True,False,0
116,696,0.8571428571428612,40,110,0.0,0.9166666666666666,75,True,False,False,True,False,0
116,715,0.9642857142857082,5,180,0.1127596439169139,0.8749999999999999,58,False,True,True,False,False,0
116,596,0.7142857142857082,40,107,0.6528189910979229,0.6041666666666666,75,True,False,True,False,False,1
211,527,0.7857142857142918,42,140,0.1246290801186943,0.4166666666666667,74,False,True,True,False,False,0
46,825,0.9285714285714306,19,176,0.0,1.0,37,True,False,False,True,False,0
211,88,0.9285714285714306,32,102,0.0,0.0,74,True,False,False,True,False,0
211,250,0.8214285714285694,23,114,0.1097922848664688,0.8958333333333333,74,False,True,True,False,False,0
116,77,0.8571428571428612,40,110,0.0,0.0,75,True,False,False,True,False,0
116,696,0.9285714285714306,40,107,0.0,0.9166666666666666,75,True,False,False,True,False,0
116,554,0.8571428571428612,40,107,0.0,0.6666666666666666,75,True,False,False,True,False,0
211,77,0.9285714285714306,36,134,0.0,0.0,74,True,False,False,True,False,0
176,285,0.8928571428571388,40,110,0.0,0.5208333333333333,19,True,False,False,True,False,0
211,882,0.9285714285714306,40,43,0.0,0.0,74,True,False,False,True,False,0
